gfk_code,gfk_text,zensus,alt_rel
31001_3280,Gebäude für andere Erholungseinrichtung,0,1
31001_3281,Schutzhütte,0,0
31001_3290,Touristisches Informationszentrum,0,1
31001_9998,Nach Quellenlage nicht zu spezifizieren,0,0
51001_1001,Wasserturm,0,0
51001_1002,Kirchturm,0,0
51001_1003,Aussichtsturm,0,0
51001_1004,Kontrollturm,0,0
51001_1005,Kühlturm,0,0
51001_1006,Leuchtturm,0,0
51001_1007,Feuerwachturm,0,0
51001_1008,"Sende-,Funkturm",0,0
51001_1009,"Stadt-,Torturm",0,0
51001_1010,Förderturm,0,0
51001_1011,Bohrturm,0,0
51001_1012,"Schloss-, Burgturm",0,0
51001_9998,Nach Quellenlage nicht zu spezifizieren,0,0
51001_9999,Sonstiges,0,0
51002_1215,Biogasanlage,0,0
51002_1220,Windrad,0,0
51002_1230,Solarzellen,0,0
51002_1250,Mast,0,0
51002_1251,Freileitungsmast,0,0
51002_1260,Funkmast,0,0
51002_1280,Radioteleskop,0,0
51002_1290,Schornstein,0,0
51002_1330,Kran,0,0
51002_1331,Drehkran,0,0
51002_1332,Portalkran,0,0
51002_1333,Laufkran,0,0
51002_1340,Trockendock,0,0
51002_1350,Hochofen,0,0
51002_1400,Umformer,0,0
51002_9999,Sonstiges,0,0
51003_1201,Silo,0,0
51003_1205,Tank,0,0
51003_1206,Gasometer,0,0
51003_9999,Sonstiges,0,0
51006_1430,Zuschauertribüne,0,0
51006_1431,"Zuschauertribüne, überdacht",0,0
51006_1432,"Zuschauertribüne, nicht überdacht",0,0
51006_1440,Stadion,0,0
51006_1470,Sprungschanze (Anlauf),0,0
51006_1490,Gradierwerk,0,0
51006_9999,Sonstiges,0,0
51007_1100,Historische Wasserleitung,0,0
51007_1110,Aquaedukt,0,0
51007_1210,Wachturm,0,0
51007_1400,Befestigung (Burgruine),0,0
51007_1410,Burg,0,0
51007_1500,Historische Mauer,0,0
51007_1510,Stadtmauer,0,0
51007_1520,Sonstige historische Mauer,0,0
51007_9999,Sonstiges,0,0
51009_1610,Überdachung,0,0
51009_1611,Carport,0,0
51009_1700,Mauer,0,0
51009_1750,Denkmal,0,0
51009_9999,Sonstiges,0,0
52003_1010,Schiffshebewerk,0,0
52003_1020,Kammerschleuse,0,0
53001_1800,Brücke,0,0
53001_1806,Drehbrücke,0,0
53001_1807,Hebebrücke,0,0
53001_1808,Zugbrücke,0,0
53001_1830,"Hochbahn, Hochstraße",0,0
53001_1880,"Schutzgalerie, Einhausung",0,0
53001_1890,Schleusenkammer,0,0
53009_2030,Staumauer,0,0
53009_2050,Wehr,0,0
53009_2060,Sicherheitstor,0,0
53009_2070,Siel,0,0
53009_2080,Sperrwerk,0,0
53009_2090,Schöpfwerk,0,0
